,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,filename-place,filename-power,filename-spreadfactor,filename-testcount,txInfo-frequency,txInfo-dataRate-modulation,txInfo-dataRate-bandwidth,txInfo-dataRate-spreadFactor,txInfo-dataRate-bitrate,txInfo-codeRate,rxInfo-mac,rxInfo-time,rxInfo-timeSinceGPSEpoch,rxInfo-timestamp,rxInfo-rssi,rxInfo-loRaSNR,rxInfo-board,rxInfo-antenna,,,,,,,,,,,,,,,,
69,11,2,7,4,924600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:11:09.99921Z,,995640844,-76,8.5,0,0,,,,,,,,,,,,,,,,
70,11,2,7,5,923200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T07:11:16.427001Z,,1002068516,-85,11.8,0,0,,,,,,,,,,,,,,,,
71,11,2,8,1,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:11:20.112684Z,,1005739932,-77,6,0,0,00800000a0000a1c,2021-10-18T07:40:09.944992Z,,3072891772.0,-95.0,-12.5,0.0,0.0,,,,,,,,
72,11,2,8,2,923800000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:11:26.811288Z,,1012444060,-78,10.8,0,0,,,,,,,,,,,,,,,,
73,11,2,8,3,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:11:44.00756Z,,1029641100,-81,7.2,0,0,,,,,,,,,,,,,,,,
74,11,2,8,4,924000000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:11:56.120087Z,,1041760948,-80,10.5,0,0,00800000a0000a1c,2021-10-18T07:40:45.96161Z,,3108912876.0,-91.0,-14.5,0.0,0.0,,,,,,,,
75,11,2,8,5,923600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T07:12:03.190328Z,,1048816580,-83,8.2,0,0,,,,,,,,,,,,,,,,
76,11,2,9,1,924000000,LORA,125,11,0,4/5,00800000a0000a1c,2021-10-18T07:40:58.362114Z,,3121305596,-96,-10.5,0,0,,,,,,,,,,,,,,,,
77,11,2,9,2,923600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:12:13.572373Z,,1059198060,-77,9.5,0,0,,,,,,,,,,,,,,,,
78,11,2,9,3,924400000,LORA,125,11,0,4/5,00800000a0000a1c,2021-10-18T07:41:14.538492Z,,3137484452,-93,-10,0,0,,,,,,,,,,,,,,,,
79,11,2,9,4,923800000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:12:29.723812Z,,1075347436,-72,6.5,0,0,00800000a0000a1c,2021-10-18T07:41:19.560865Z,,3142499428.0,-96.0,-14.5,0.0,0.0,,,,,,,,
80,11,2,9,5,923400000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T07:12:34.72355Z,,1080348540,-85,10.2,0,0,,,,,,,,,,,,,,,,
81,29,1,10,1,924000000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:26:42.024489Z,,1232687588,-98,4.2,0,0,00800000a0000a1c,2021-10-18T08:55:31.881171Z,,3299849668.0,-93.0,-12.8,0.0,0.0,,,,,,,,
82,29,1,10,2,923400000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T08:55:49.872409Z,,3317845564,-93,-13.5,0,0,,,,,,,,,,,,,,,,
83,29,1,10,3,924400000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:27:07.68729Z,,1258359516,-101,-1,0,0,,,,,,,,,,,,,,,,
84,29,1,10,4,923400000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:27:15.083164Z,,1265747844,-93,6.2,0,0,00800000a0000a1c,2021-10-18T08:56:04.9408Z,,3332908580.0,-93.0,-8.2,0.0,0.0,,,,,,,,
85,29,1,10,5,924600000,LORA,125,12,0,4/5,00800000a0000a1c,2021-10-18T08:56:22.972169Z,,3350943932,-90,-13.2,0,0,,,,,,,,,,,,,,,,
86,29,1,7,1,923800000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:08.491481Z,,1139179548,-99,9.2,0,0,,,,,,,,,,,,,,,,
87,29,1,7,2,923400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:11.695564Z,,1142386908,-97,10.2,0,0,,,,,,,,,,,,,,,,
88,29,1,7,3,924600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:24.432983Z,,1155129540,-102,0.8,0,0,00800000a0000a1c,2021-10-18T08:54:14.292173Z,,3222291444.0,-93.0,-11.8,0.0,0.0,,,,,,,,
89,29,1,7,4,923600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:28.43236Z,,1159117756,-97,5,0,0,,,,,,,,,,,,,,,,
90,29,1,7,5,923200000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:25:41.042982Z,,1171737796,-96,9,0,0,00800000a0000a1c,2021-10-18T08:54:30.899409Z,,3238899732.0,-97.0,-11.5,0.0,0.0,,,,,,,,
91,29,1,8,1,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:25:45.367735Z,,1176058844,-96,6.2,0,0,00800000a0000ed1,2021-10-18T08:45:20.306675Z,,2265643468.0,-96.0,-16.2,0.0,0.0,,,,,,,,
92,29,1,8,2,923800000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:25:52.994598Z,,1183675092,-97,5.5,0,0,00800000a0000a1c,2021-10-18T08:54:42.840783Z,,3250837052.0,-96.0,-12.2,0.0,0.0,,,,,,,,
93,29,1,8,3,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:25:59.26211Z,,1189953356,-102,-3.8,0,0,,,,,,,,,,,,,,,,
94,29,1,8,4,924200000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:26:03.027854Z,,1193708860,-105,-4.5,0,0,,,,,,,,,,,,,,,,
95,29,1,8,5,924000000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:26:07.271733Z,,1197959628,-98,6,0,0,,,,,,,,,,,,,,,,
96,29,1,9,1,924600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:26:13.530662Z,,1204217996,-95,4,0,0,,,,,,,,,,,,,,,,
97,29,1,9,2,924000000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:26:18.879228Z,,1209555932,-95,7,0,0,00800000a0000a1c,2021-10-18T08:55:08.729864Z,,3276717956.0,-97.0,-15.0,0.0,0.0,00800000a0000ed1,2021-10-18T08:45:53.813312Z,,2299140628.0,-96.0,-15.5,0.0,0.0
98,29,1,9,3,923800000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:26:24.320913Z,,1215001332,-94,6.5,0,0,,,,,,,,,,,,,,,,
99,29,1,9,4,924600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:26:30.018473Z,,1220694708,-96,3.8,0,0,00800000a0000a1c,2021-10-18T08:55:19.862407Z,,3287856756.0,-94.0,-14.5,0.0,0.0,,,,,,,,
100,29,1,9,5,924200000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:26:35.155481Z,,1225838420,-95,5,0,0,,,,,,,,,,,,,,,,
101,29,2,10,1,923600000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:29:47.817184Z,,1418474884,-92,5.5,0,0,00800000a0000a1c,2021-10-18T08:58:37.670167Z,,3485637396.0,-94.0,-11.5,0.0,0.0,,,,,,,,
102,29,2,10,2,923600000,LORA,125,12,0,4/5,00800000a0000ed1,2021-10-18T08:49:37.519377Z,,2522834980,-92,-17.5,0,0,,,,,,,,,,,,,,,,
103,29,2,10,3,924400000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:30:10.158308Z,,1440829940,-100,2.5,0,0,,,,,,,,,,,,,,,,
104,29,2,10,4,923400000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:30:17.652922Z,,1448324604,-90,8,0,0,00800000a0000a1c,2021-10-18T08:59:07.51705Z,,3515487188.0,-93.0,-9.0,0.0,0.0,00800000a0000ed1,2021-10-18T08:49:52.598817Z,,2537909820.0,-95.0,-18.0,0.0,0.0
105,29,2,10,5,923800000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:30:28.948679Z,,1459614564,-96,6.2,0,0,00800000a0000ed1,2021-10-18T08:50:03.87677Z,,2549199804.0,-99.0,-15.0,0.0,0.0,,,,,,,,
106,29,2,7,1,924000000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:27:38.213864Z,,1288907372,-108,-0.8,0,0,,,,,,,,,,,,,,,,
107,29,2,7,2,923400000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:27:41.386898Z,,1292075460,-94,8.8,0,0,00800000a0000a1c,2021-10-18T08:56:31.234792Z,,3359237676.0,-95.0,-9.0,0.0,0.0,,,,,,,,
108,29,2,7,3,924600000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:27:52.527179Z,,1303217860,-99,0.2,0,0,00800000a0000a1c,2021-10-18T08:56:42.387359Z,,3370380108.0,-95.0,-11.8,0.0,0.0,,,,,,,,
109,29,2,7,4,923800000,LORA,125,9,0,4/5,00800000a000151a,2021-10-18T08:27:58.016117Z,,1308704252,-99,3.5,0,0,,,,,,,,,,,,,,,,
110,29,2,7,5,923400000,LORA,125,9,0,4/5,00800000a0000a1c,2021-10-18T08:56:52.024051Z,,3380025756,-90,-10.2,0,0,,,,,,,,,,,,,,,,
111,29,2,8,1,924000000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:28:06.535737Z,,1317229860,-101,-3,0,0,00800000a0000a1c,2021-10-18T08:56:56.390926Z,,3384392132.0,-99.0,-14.5,0.0,0.0,,,,,,,,
112,29,2,8,2,923400000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:28:12.99736Z,,1323678140,-97,7,0,0,00800000a0000a1c,2021-10-18T08:57:02.845669Z,,3390840436.0,-94.0,-8.8,0.0,0.0,,,,,,,,
113,29,2,8,3,923400000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:28:24.322724Z,,1335007996,-89,7.5,0,0,00800000a0000a1c,2021-10-18T08:57:14.168293Z,,3402170316.0,-93.0,-12.5,0.0,0.0,,,,,,,,
114,29,2,8,4,923400000,LORA,125,10,0,4/5,00800000a0000a1c,2021-10-18T08:57:26.52493Z,,3414524268,-94,-14.2,0,0,,,,,,,,,,,,,,,,
115,29,2,8,5,924600000,LORA,125,10,0,4/5,00800000a000151a,2021-10-18T08:28:40.641115Z,,1351333580,-101,-6.2,0,0,,,,,,,,,,,,,,,,
116,29,2,9,1,923800000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:28:59.149364Z,,1369827796,-99,8,0,0,00800000a0000ed1,2021-10-18T08:48:34.08368Z,,2459412836.0,-105.0,-13.0,0.0,0.0,,,,,,,,
117,29,2,9,2,923600000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:29:04.854361Z,,1375535900,-91,8,0,0,00800000a0000a1c,2021-10-18T08:57:54.719007Z,,3442698308.0,-96.0,-10.0,0.0,0.0,,,,,,,,
118,29,2,9,3,924400000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:29:12.681477Z,,1383362860,-100,-3.2,0,0,,,,,,,,,,,,,,,,
119,29,2,9,4,923800000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:29:26.77415Z,,1397448644,-96,5.5,0,0,00800000a0000a1c,2021-10-18T08:58:16.623128Z,,3464611100.0,-97.0,-15.2,0.0,0.0,,,,,,,,
120,29,2,9,5,923400000,LORA,125,11,0,4/5,00800000a000151a,2021-10-18T08:29:31.885811Z,,1402560900,-91,8.2,0,0,00800000a0000a1c,2021-10-18T08:58:21.736801Z,,3469723372.0,-93.0,-9.2,0.0,0.0,,,,,,,,
121,2,1,10,1,923800000,LORA,125,12,0,4/5,00800000a000151a,2021-10-18T08:04:22.86222Z,,4188482548,-93,9.8,0,0,00800000a00006d4,2021-10-18T08:32:17.151751Z,,2357188940.0,-108.0,-15.2,0.0,0.0,,,,,,,,
